cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,30,30,39,space,2.570002079,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,30,30,39,space,2.6015050411,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,30,30,39,space,2.3861589432,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,31,31,48,space,2.2708370686,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,31,31,48,space,2.3362400532,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,31,31,48,space,2.3032069206,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,32,32,22,space,2.6852080822,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,32,32,22,space,2.2363197804,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,32,32,22,space,2.8861169815,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,33,33,35,space,2.8537378311,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,33,33,35,space,2.4526190758,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,33,33,35,space,2.8535051346,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
60,ʰp,tiptoe,v,cvccv,ɪ,labial,stop,ccv,tipla,tɪʰpla,yes,0,34,34,58,space,2.6199769974,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
60,ʰp,tiptoe,v,cvccv,ɪ,labial,stop,ccv,tipla,tɪʰpla,yes,0,34,34,58,space,2.3031430244,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
60,ʰp,tiptoe,v,cvccv,ɪ,labial,stop,ccv,tipla,tɪʰpla,yes,0,34,34,58,space,2.3025379181,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
19,s,sediment,n,cvcc,e,coronal,stop,cc,sets,sess,no,0,35,35,16,space,2.5530951023,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
19,s,sediment,n,cvcc,e,coronal,stop,cc,sets,sess,no,0,35,35,16,space,2.1703808308,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
19,s,sediment,n,cvcc,e,coronal,stop,cc,sets,sess,no,0,35,35,16,space,2.7528209686,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,36,36,9,space,2.6033601761,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,36,36,9,space,2.1204271317,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,36,36,9,space,2.1531980038,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,37,37,6,space,3.053000927,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,37,37,6,space,2.0529968739,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,37,37,6,space,2.3365638256,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
40,n,pound,n,cvncv,ʏ,coronal,nasal,ccv,punda,pʰʏnta,no,0,38,38,43,space,2.2197649479,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
40,n,pound,n,cvncv,ʏ,coronal,nasal,ccv,punda,pʰʏnta,no,0,38,38,43,space,1.9694430828,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
40,n,pound,n,cvncv,ʏ,coronal,nasal,ccv,punda,pʰʏnta,no,0,38,38,43,space,2.6366901398,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
13,ʰt,push,v,vcc,i,coronal,stop,cc,ýtt,iʰt,yes,0,39,39,10,space,2.920030117,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
13,ʰt,push,v,vcc,i,coronal,stop,cc,ýtt,iʰt,yes,0,39,39,10,space,2.4866409302,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
13,ʰt,push,v,vcc,i,coronal,stop,cc,ýtt,iʰt,yes,0,39,39,10,space,2.5031468868,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
45,l,complex,agg,cvlc,ʏ,coronal,lateral,cc,duld,tʏlt,no,0,40,40,30,space,2.985968113,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
45,l,complex,agg,cvlc,ʏ,coronal,lateral,cc,duld,tʏlt,no,0,40,40,30,space,1.5032410622,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
45,l,complex,agg,cvlc,ʏ,coronal,lateral,cc,duld,tʏlt,no,0,40,40,30,space,2.7860510349,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,41,41,25,space,2.718432188,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,41,41,25,space,2.5033018589,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,41,41,25,space,2.2197730541,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
38,m,comb,v,cvncv,e,labial,nasal,ccv,kemba,kʰempa,no,0,42,42,41,space,2.670279026,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
38,m,comb,v,cvncv,e,labial,nasal,ccv,kemba,kʰempa,no,0,42,42,41,space,2.4530088902,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
38,m,comb,v,cvncv,e,labial,nasal,ccv,kemba,kʰempa,no,0,42,42,41,space,1.9030621052,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
59,p,play chess,v,cvccv,e,labial,stop,ccv,tefla,tepla,no,0,43,43,57,space,2.3030569553,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
59,p,play chess,v,cvccv,e,labial,stop,ccv,tefla,tepla,no,0,43,43,57,space,1.7361598015,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
59,p,play chess,v,cvccv,e,labial,stop,ccv,tefla,tepla,no,0,43,43,57,space,2.2867541313,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
20,ʰt,put,v,cvcc,e,coronal,stop,cc,sett,seʰt,yes,0,44,44,17,space,2.7040829659,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
20,ʰt,put,v,cvcc,e,coronal,stop,cc,sett,seʰt,yes,0,44,44,17,space,2.603238821,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
20,ʰt,put,v,cvcc,e,coronal,stop,cc,sett,seʰt,yes,0,44,44,17,space,2.6525862217,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
6,pp,block of wood,n,cvcc,ʏ,labial,stop,cc,kubb,kʰʏpp,no,0,45,45,5,space,2.6535069943,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
6,pp,block of wood,n,cvcc,ʏ,labial,stop,cc,kubb,kʰʏpp,no,0,45,45,5,space,2.3849499226,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
6,pp,block of wood,n,cvcc,ʏ,labial,stop,cc,kubb,kʰʏpp,no,0,45,45,5,space,2.8702750206,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
49,r̥,energy,n,vrcv,o,coronal,rhotic,ccv,orka,or̥ka,yes,0,46,46,47,space,2.4030787945,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
49,r̥,energy,n,vrcv,o,coronal,rhotic,ccv,orka,or̥ka,yes,0,46,46,47,space,2.4032461643,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
49,r̥,energy,n,vrcv,o,coronal,rhotic,ccv,orka,or̥ka,yes,0,46,46,47,space,2.4697680473,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
9,ʰt,thaw,v,cvcc,i,coronal,stop,cc,þítt,θiʰt,yes,0,47,47,8,space,2.6532480717,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
9,ʰt,thaw,v,cvcc,i,coronal,stop,cc,þítt,θiʰt,yes,0,47,47,8,space,2.4037539959,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
9,ʰt,thaw,v,cvcc,i,coronal,stop,cc,þítt,θiʰt,yes,0,47,47,8,space,2.3867089748,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
17,s,sweet,adj,cvvcc,ai,coronal,stop,cc,sæts,saiss,no,0,48,48,14,space,2.8200221062,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
17,s,sweet,adj,cvvcc,ai,coronal,stop,cc,sæts,saiss,no,0,48,48,14,space,2.1865301132,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
17,s,sweet,adj,cvvcc,ai,coronal,stop,cc,sæts,saiss,no,0,48,48,14,space,2.285615921,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
42,n,do st carefully,v,cvncv,a,coronal,nasal,ccv,vanda,vanta,no,0,49,49,45,space,2.5531377792,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
42,n,do st carefully,v,cvncv,a,coronal,nasal,ccv,vanda,vanta,no,0,49,49,45,space,2.4870569706,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
42,n,do st carefully,v,cvncv,a,coronal,nasal,ccv,vanda,vanta,no,0,49,49,45,space,2.4192559719,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
57,p,part,n,cvccv,a,labial,stop,ccv,kafli,kapli,no,0,50,50,55,space,2.4525010586,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
57,p,part,n,cvccv,a,labial,stop,ccv,kafli,kapli,no,0,50,50,55,space,2.3199629784,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
57,p,part,n,cvccv,a,labial,stop,ccv,kafli,kapli,no,0,50,50,55,space,1.7527148724,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
43,t,smart,adj,cvcc,i,coronal,stop,cc,fínn,fitn̥,yes,0,51,51,28,space,3.0540721417,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
43,t,smart,adj,cvcc,i,coronal,stop,cc,fínn,fitn̥,yes,0,51,51,28,space,2.3038678169,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
43,t,smart,adj,cvcc,i,coronal,stop,cc,fínn,fitn̥,yes,0,51,51,28,space,2.4031021595,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
35,m̥,moustache,n,cvncv,a,labial,nasal,ccv,kampa,kʰam̥pa,yes,0,52,52,38,space,6.0386149883,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
35,m̥,moustache,n,cvncv,a,labial,nasal,ccv,kampa,kʰam̥pa,yes,0,52,52,38,space,2.2531461716,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
35,m̥,moustache,n,cvncv,a,labial,nasal,ccv,kampa,kʰam̥pa,yes,0,52,52,38,space,2.1524920464,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰpli,yes,0,53,53,56,space,3.2369720936,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰpli,yes,0,53,53,56,space,2.769974947,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰpli,yes,0,53,53,56,space,3.0043830872,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
54,ʰp,arm,v,cvccv,o,labial,stop,ccv,vopna,voʰpna,yes,0,54,54,52,space,3.0211389065,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
54,ʰp,arm,v,cvccv,o,labial,stop,ccv,vopna,voʰpna,yes,0,54,54,52,space,2.7865440846,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
54,ʰp,arm,v,cvccv,o,labial,stop,ccv,vopna,voʰpna,yes,0,54,54,52,space,2.686809063,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
48,l,castrate,v,cvlcv,e,coronal,lateral,ccv,gelda,kelta,no,0,55,55,46,space,2.7867779732,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
48,l,castrate,v,cvlcv,e,coronal,lateral,ccv,gelda,kelta,no,0,55,55,46,space,2.5532598496,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
48,l,castrate,v,cvlcv,e,coronal,lateral,ccv,gelda,kelta,no,0,55,55,46,space,2.6700251102,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
14,tt,sharpen,v,vcc,ɪ,coronal,stop,cc,ydd,ɪtt,no,0,56,56,11,space,2.6700820923,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
14,tt,sharpen,v,vcc,ɪ,coronal,stop,cc,ydd,ɪtt,no,0,56,56,11,space,2.6371030808,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
14,tt,sharpen,v,vcc,ɪ,coronal,stop,cc,ydd,ɪtt,no,0,56,56,11,space,2.7533390522,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,57,57,40,space,2.637775898,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,57,57,40,space,2.8368220329,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,57,57,40,space,2.6866250038,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,58,58,27,space,2.9705920219,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,58,58,27,space,2.3530330658,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,58,58,27,space,2.8701848984,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,59,59,36,space,2.6706058979,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,59,59,36,space,2.586758852,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,59,59,36,space,2.4523499012,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
,,,,,,,,,,,,,,,,,,space,15.0755860806,2016_May_27_1122,59.9674592168,icelandic,tt01_1
